"","3MIN","7.5MIN","15MIN","30MIN","60MIN","110MIN","2.5H","5H","0MIN"
"YER168C",0.094600921,0.059895149,0.24199878,0.2544973,0.23010462,0.12579655,0.099200929,0.035694283,0
"YER169W",-0.083800074,-0.29720063,-0.11049998,-0.38460065,-0.94919882,-1.1078002,-1.3650016,-1.2197,0
"YER170W",-0.23219946,-0.18480005,-0.2485997,-0.26049922,0.25720377,0.52700025,0.59239724,0.41190345,0
"YER171W",0.54779528,0.43570326,0.31739669,0.67459624,0.64760003,0.57190005,0.63550367,0.48990254,0
"YER172C",0.61790026,0.87519815,0.69659926,0.80369821,0.48630248,0.42030453,0.42369649,0.34699659,0
"YER173W",-0.11679993,-0.19619931,-0.32340039,-0.30410059,0.081298719,-0.13010017,-0.071600113,-0.10140002,0
"YER174C",-0.86580009,-0.6991008,-0.80789928,-0.74269966,-0.68570023,-0.20049984,-0.32450019,-0.27190012,0
"YER175C",-1.2824984,-1.1910993,-1.5247989,-1.9538973,-2.5623035,-2.6566991,-2.2866983,-2.6933038,0
"YER176W",-0.11230006,0.075505249,0.071103629,0.23609458,0.28290234,0.26860207,0.24269396,0.29640454,0
"YER177W",-0.32649966,-0.51680076,-0.1200998,-0.22689994,-0.32769958,0.56599679,0.59700191,0.73189572,0
"YER178W",-0.81599907,-0.95789923,-0.87360064,-0.72889947,-0.65550097,-1.0376005,-0.92399921,-0.94429901,0
"YER179W",-0.20839928,-0.086899579,0.029106527,-0.15609975,-0.32159992,0.23110058,0.095195295,0.46050144,0
"YER180C",0.2048043,0.000403898,-0.03329933,0.071199757,-0.36259935,-0.44989919,-0.40879933,-0.37100063,0
"YER181C",-0.23869941,-0.26499954,-0.22209934,-0.30829969,-0.22249991,-0.22890041,-0.25790063,-0.2903,0
"YER182W",-1.1198991,-1.2761986,-1.3566019,-1.5364989,-1.7230008,-1.4816985,-1.6333986,-1.519098,0
"YER183C",0.40939637,0.48549896,0.40669992,0.52489615,0.77489878,0.5554039,0.59689699,0.51190316,0
"YER184C",0.28760232,0.29569952,0.034004368,-0.086999179,-0.49650064,-0.53220093,-0.45550077,-0.51539987,0
"YER185W",-0.031199967,0.063806636,0.015797267,-0.011599609,-0.15529941,-0.076499366,0.005802377,-0.018100597,0
"YER186C",-0.12959977,-0.098700183,-0.44220077,-0.57279934,-0.5960997,-0.79389945,-0.67989894,-0.74100116,0
"YER187W",-0.61939909,-0.82490085,-1.0123008,-1.1634004,-1.748001,-2.245499,-1.9716006,-2.1618017,0
"YER188W",-0.026900141,0.082893301,0.24809759,0.4044999,0.24259641,0.40200174,0.35400072,0.42399761,0
"YPL283C",-0.65249988,-0.9906987,-1.0132003,-0.8032998,-0.16609954,-0.62400085,-0.18510017,-0.53059952,0
"YFL001W",1.1821011,1.1492984,1.2177022,1.1858983,1.0127975,0.67380062,0.69149843,0.64529586,0
"YFL002C",0.80680247,0.96800225,0.89420079,1.198997,1.0292974,0.77200386,0.7804025,0.69299845,0
"YFL003C",0.095303337,0.073504931,0.11220636,0.044506033,-0.26369993,-0.15379957,-0.064499518,-0.049100148,0
"YFL004W",-0.3755996,-0.37799927,-0.28820029,-0.51640037,-0.59850059,-0.14729957,-0.02040044,0.047594225,0
"YFL005W",-0.47679939,-0.62509963,-0.45690011,-0.42040082,-0.17610067,-0.031699819,0.048598907,0.089104881,0
"YFL007W",0.80469792,1.1797976,1.5337975,1.3293016,0.90509669,1.1542008,0.86339932,1.0139981,0
"YFL008W",1.0757996,1.1283,0.94119648,1.0859005,1.654298,1.2505978,1.3775014,1.2349979,0
"YFL009W",0.34599808,0.31969885,0.16240341,-0.069200604,-0.30600062,-0.38820062,-0.44340088,-0.48200075,0
"YFL010C",0.59279906,0.42520147,0.54040427,0.56530471,0.44429601,0.60700119,0.59309557,0.50429495,0
"YFL010W-A",0.23010462,0.34530553,0.29370007,0.3735981,0.18729902,0.68299571,0.5982985,0.63749896,0
"YFL011W",-0.21079994,-0.2335999,-0.2485997,-0.17919936,-0.005699791,-0.057999796,-0.054500166,-0.12440078,0
"YFL012W",-0.073499522,-0.1243992,-0.18170078,-0.019999568,0.021806606,0.11459357,0.29020026,0.20070522,0
"YFL013C",-0.23559949,-0.38069969,-0.36689992,-0.2988999,-0.034300664,-0.13499974,-0.058800518,-0.085400271,0
"YFL012W-A",-0.001499739,0.11029642,0.10060095,0.26519683,0.38800213,0.53610265,0.57440189,0.5982985,0
"YFL014W",-1.5329,-1.9819014,-1.6545991,-2.2344992,-1.5671988,-1.8385018,-2.5018022,-2.8189967,0
"YFL015C",-0.14020056,-0.17810043,-0.18380008,-0.22029987,-0.15110089,-0.22689994,-0.23139982,-0.21669925,0
"YFL016C",-1.0834011,-1.2496988,-1.3756988,-1.8489985,-1.8659,-1.4908008,-1.5405012,-1.6146993,0
"YFL017C",0.94619934,0.83539863,1.0897015,1.2890022,1.3720996,1.5804977,1.6664021,1.6329987,0
"YFL017W-A",0.19499476,0.12669539,0.007798293,0.010493419,0.08199401,0.14940246,0.040205102,0.1349963,0
"YFL018C",-1.2268003,-1.6283988,-1.7281011,-1.8785018,-1.0705998,-0.68999965,-0.71439892,-0.76829972,0
"YFL019C",-0.19130029,-0.049100148,-0.24120052,-0.31789959,-0.082299399,-0.002499469,0.081094158,-0.10929962,0
"YFL020C",-0.46870089,-0.7127996,-0.88509998,-0.65990038,-0.20390067,-0.62719942,-0.54189942,-0.65699932,0
"YFL021W",1.5645001,1.6152986,0.30600553,-0.81840126,-1.3070016,-0.91909952,-1.1199995,-1.2973992,0
"YFL022C",1.0593968,1.379499,1.5645001,1.7669004,1.8129007,1.9144995,1.8095997,1.808801,0
"YFL023W",0.63970449,0.74329953,0.67120278,0.72329643,0.37880013,0.43499911,0.36379905,0.35090454,0
"YFL024C",0.073998417,0.125003,0.19939909,0.19210577,0.19669516,-0.33470002,-0.32540015,-0.31459981,0
"YFL025C",0.45690075,0.33910317,0.10920007,-0.096000768,-0.016199745,-0.17130018,-0.067099769,-0.23760015,0
"YFL026W",0.83749927,0.89659736,1.0844997,0.86039872,1.0619006,1.2700026,1.1132004,1.4675977,0
"YFL027C",0.082893301,0.31039829,0.42049857,0.15609886,-0.3528992,-0.031800105,-0.2406004,0.21070056,0
"YFL028C",0.28499969,0.22680444,0.085506239,-0.099199256,-0.19420073,-0.15349946,0.044394119,-0.11019941,0
"YFL029C",0.054501216,0.14050383,0.1349963,0.20970289,0.10910644,0.50569788,0.33910317,0.46050144,0
"YFL030W",-0.9076004,-1.4411995,-1.7389001,-2.5395028,-3.073199,-3.5863002,-3.5266,-3.6584997,0
"YFL031W",-0.34929977,-0.27140028,-0.70360015,-0.90730002,-0.58560031,-0.27400064,-0.080899465,-0.2767997,0
"YFL032W",-0.2848007,-0.14390031,-0.10770069,-0.2562007,-0.38640046,-0.39060056,-0.3064002,-0.35039926,0
"YFL033C",-0.01350023,-0.20599927,-0.098599771,-0.46849926,-0.7095001,-0.35349999,-0.51859978,-0.3651001,0
"YFL034C-A",-0.24850029,-0.66029933,-0.72510026,0.19009647,0.87659749,0.41050393,0.40149941,0.35929626,0
"YFL034C-B",0.13119435,0.44130287,0.55210159,0.49849598,0.31590238,0.32920398,0.19080447,0.30660056,0
"YFL034W",0.22760555,0.30300331,0.21950001,0.0825936,-0.10109978,-0.092800124,-0.065900232,0.010292892,0
